1	6512	0
1	3672	0
1	7265	0
1	3025	0
1	6727	0
1	7866	0
1	2720	0
1	4125	0
1	3713	0
1	7600	0
1	2343	0
1	6306	0
1	2920	0
1	808	0
1	1705	0
1	4279	0
1	6860	0
1	6379	0
1	2522	0
1	263	0
1	6389	0
1	6567	0
1	4239	0
1	7590	0
1	5349	0
1	7800	0
1	4110	0
1	405	0
1	2748	0
1	576	0
1	4048	0
1	4984	0
1	4777	0
1	5775	0
1	3751	0
1	2844	0
1	1269	0
1	2363	0
1	6790	0
1	455	0
1	374	0
1	1258	0
1	2131	0
1	5828	0
1	6233	0
1	2560	0
1	6652	0
1	1257	0
1	7553	0
1	5451	0
1	550	0
1	801	0
1	6346	0
1	3503	0
1	1984	0
1	1591	0
1	3686	0
1	4271	0
1	1658	0
1	4380	0
1	1246	0
1	1717	0
1	7048	0
1	6463	0
1	4300	0
1	4545	0
1	5513	0
1	4819	0
1	3169	0
1	3192	0
1	2479	0
1	636	0
1	6719	0
1	3240	0
1	7843	0
1	962	0
1	4820	0
1	4509	1
1	3674	0
1	6661	0
2	4267	0
2	5102	1
2	3337	0
2	3322	0
2	3151	0
2	5987	0
2	6530	0
3	2091	1
3	2181	0
3	5500	0
3	7909	0
3	1961	0
3	7380	0
3	5467	0
3	1017	0
3	7450	0
3	3045	0
4	2002	1
4	7712	0
4	3178	0
4	2586	0
5	2090	0
5	1238	0
5	7698	0
5	6465	0
5	5666	0
5	5026	0
5	6701	0
5	6802	0
5	5125	0
5	4915	0
5	4798	0
5	65	0
5	245	0
5	1862	0
5	7526	0
5	5203	0
5	7562	0
5	731	0
5	347	0
5	5917	1
5	6880	0
5	7724	0
6	878	0
6	7528	1
6	6448	0
7	535	0
7	4469	0
7	917	1
7	3010	0
7	5948	0
7	2658	0
7	7571	0
7	5511	0
7	5307	0
7	4991	0
7	333	0
7	7280	0
7	7301	0
7	2453	0
7	6102	0
7	4165	0
7	1754	0
7	4472	0
8	4451	0
8	4561	1
8	2237	0
8	7164	0
9	3476	0
9	7899	1
9	6682	0
10	6074	0
10	2187	0
10	4747	0
10	7785	0
10	1790	0
10	1070	0
10	347	1
10	6308	0
10	6307	0
10	7450	0
10	658	0
10	5459	0
10	799	0
10	2381	0
10	4729	0
10	2888	0
10	7471	0
10	2040	0
10	7318	0
10	6615	0
10	6158	0
11	6601	1
11	2927	0
12	7083	0
12	5451	0
12	2697	0
12	423	0
12	3214	0
12	223	0
12	4112	0
12	5656	0
12	7271	0
12	6948	0
12	7567	0
12	8013	0
12	530	0
12	772	0
12	5182	0
12	138	0
12	6594	0
12	7996	0
12	232	0
12	4326	0
12	6892	0
12	7379	0
12	5251	0
12	7070	0
